generation,best_distance_so_far,generation_best_distance,avg_distance,worst_distance,best_fitness,avg_fitness,worst_fitness,unique_pct,hamming_pct,no_improve
116,1689.9621913359083,1689.9621913359083,1751.4804446920143,2115.4028951636783,0.0005917292144917771,0.0005724568005112024,0.0004727231877607055,28.999999999999996,28.000000000000004,0
117,1689.9621913359083,1689.9621913359083,1742.5870445905248,2134.8291006275786,0.0005917292144917771,0.0005749652073680808,0.00046842157046951826,32.0,26.375,1
118,1689.9621913359083,1689.9621913359083,1774.8305181114615,2293.97701581456,0.0005917292144917771,0.0005660335565827925,0.00043592415839655355,38.0,42.125,2
119,1689.9621913359083,1689.9621913359083,1747.3194312495161,2306.0627135372397,0.0005917292144917771,0.0005743366518407622,0.00043363955114044257,30.0,26.687499999999996,3
120,1689.9621913359083,1689.9621913359083,1720.8223888049758,1994.5272607407173,0.0005917292144917771,0.0005819096046886063,0.0005013719389468885,24.0,22.65625,4
121,1689.9621913359083,1689.9621913359083,1728.4146986604062,2125.68318162061,0.0005917292144917771,0.0005797880487105416,0.0004704369911030696,27.0,27.59375,5
122,1689.9621913359083,1689.9621913359083,1716.5549467371104,2088.8074348296477,0.0005917292144917771,0.0005835987816059868,0.00047874207230670564,15.0,11.09375,6
123,1689.9621913359083,1689.9621913359083,1719.5564270641062,2124.4466477756496,0.0005917292144917771,0.0005825553526409804,0.0004707108088814682,18.0,6.5625,7
124,1689.9621913359083,1689.9621913359083,1736.1990267090694,2134.146436776158,0.0005917292144917771,0.0005778116260081209,0.0004685714076446411,21.0,13.125,8
125,1689.9621913359083,1689.9621913359083,1734.9815071983508,2035.7599056191884,0.0005917292144917771,0.0005777495804699396,0.0004912170621102018,27.0,27.03125,9
126,1689.9621913359083,1689.9621913359083,1729.7671865627622,2074.6440978645924,0.0005917292144917771,0.0005794778372291456,0.00048201038483144563,22.0,10.6875,10
127,1689.9621913359083,1689.9621913359083,1716.5459962393268,2055.7983970904083,0.0005917292144917771,0.0005835198629535396,0.0004864290201876358,16.0,10.0,11
128,1689.9621913359083,1689.9621913359083,1716.727706066848,2079.666171535234,0.0005917292144917771,0.0005835615346832091,0.0004808464039503936,14.000000000000002,9.1875,12
129,1689.9621913359083,1689.9621913359083,1717.210462434451,2005.183660553615,0.0005917292144917771,0.0005831739927444933,0.0004987074349707735,19.0,7.124999999999999,13
130,1689.9621913359083,1689.9621913359083,1716.9297040487854,2107.760707321494,0.0005917292144917771,0.0005835664526022347,0.0004744371581301477,14.000000000000002,9.75,14
131,1689.9621913359083,1689.9621913359083,1714.8086179096633,1995.9128441718183,0.0005917292144917771,0.0005839721628597539,0.0005010238813383348,18.0,8.5625,15
132,1689.9621913359083,1689.9621913359083,1713.1961502795502,1971.234581339993,0.0005917292144917771,0.0005844342470261718,0.0005072962951574369,15.0,6.21875,16
133,1689.9621913359083,1689.9621913359083,1717.3936765892036,2111.1916918821,0.0005917292144917771,0.000583353794426744,0.0004736661307664169,16.0,11.03125,17
134,1689.9621913359083,1689.9621913359083,1711.8464199351904,1939.7458813562544,0.0005917292144917771,0.0005848218476370098,0.0005155314464700952,15.0,3.375,18
135,1689.9621913359083,1689.9621913359083,1706.9802552119688,1971.3151949187684,0.0005917292144917771,0.0005863697248951541,0.0005072755501391072,13.0,5.84375,19
136,1689.9621913359083,1689.9621913359083,1705.697700879268,2065.235316337428,0.0005917292144917771,0.0005867700967921646,0.00048420632365198953,13.0,6.75,20
137,1689.9621913359083,1689.9621913359083,1715.054506299766,2039.3766722083583,0.0005917292144917771,0.0005839270775108574,0.0004903459050147613,16.0,9.5625,21
138,1689.9621913359083,1689.9621913359083,1718.8879928167762,2079.8260713964128,0.0005917292144917771,0.0005827871258284755,0.000480809435823925,18.0,7.9375,22
139,1689.9621913359083,1689.9621913359083,1712.4299930972854,2021.4177001016983,0.0005917292144917771,0.0005847656884356161,0.0004947023071726784,13.0,8.0,23
140,1689.9621913359083,1689.9621913359083,1715.4989741755749,2106.8385714743476,0.0005917292144917771,0.0005838053038834817,0.00047464481310507245,16.0,6.5625,24
141,1689.9621913359083,1689.9621913359083,1719.4027533569988,2023.0140426054288,0.0005917292144917771,0.0005825942841871022,0.0004943119419537519,17.0,6.343749999999999,25
142,1689.9621913359083,1689.9621913359083,1721.375485902326,2013.1680783129225,0.0005917292144917771,0.0005820645505306081,0.0004967295134333845,18.0,11.40625,26
143,1689.9621913359083,1689.9621913359083,1712.4766095288066,1944.3906027319456,0.0005917292144917771,0.0005846017102050837,0.0005142999552635978,17.0,6.6875,27
144,1689.9621913359083,1689.9621913359083,1716.191410799821,1942.7489850291513,0.0005917292144917771,0.0005834056379399182,0.0005147345373519752,19.0,6.6875,28
145,1689.9621913359083,1689.9621913359083,1710.518154628709,1988.166307255426,0.0005917292144917771,0.0005853560964213045,0.0005029760319097523,14.000000000000002,7.124999999999999,29
146,1689.9621913359083,1689.9621913359083,1715.1559645739076,2074.9305417354417,0.0005917292144917771,0.0005839103304143558,0.0004819438433652888,16.0,12.65625,30
147,1689.9621913359083,1689.9621913359083,1704.4668096516107,1958.029098275301,0.0005917292144917771,0.0005870988547651448,0.0005107176399374421,12.0,5.9375,31
148,1689.9621913359083,1689.9621913359083,1708.4210942846248,2007.3666775149866,0.0005917292144917771,0.0005859505898354507,0.0004981650892192484,13.0,11.1875,32
149,1689.9621913359083,1689.9621913359083,1722.325428074841,1991.997119672374,0.0005917292144917771,0.0005816843453573844,0.0005020087580068744,18.0,12.843750000000002,33
150,1689.9621913359083,1689.9621913359083,1713.605477205823,2087.4115374444254,0.0005917292144917771,0.00058448942099074,0.0004790622175176241,14.000000000000002,5.5625,34
151,1689.9621913359083,1689.9621913359083,1719.8945920149372,2037.1982037351324,0.0005917292144917771,0.0005824174258305143,0.0004908702541395011,20.0,14.46875,35
152,1689.9621913359083,1689.9621913359083,1720.17587023806,1977.4536347006328,0.0005917292144917771,0.0005822497687965456,0.0005057008581399127,19.0,14.406250000000002,36
153,1689.9621913359083,1689.9621913359083,1728.5883912430268,2079.666171535234,0.0005917292144917771,0.0005798025701329587,0.0004808464039503936,22.0,16.6875,37
154,1689.9621913359083,1689.9621913359083,1720.71717198848,2117.9887465325664,0.0005917292144917771,0.0005821634177110593,0.00047214604026444174,18.0,15.625,38
155,1689.9621913359083,1689.9621913359083,1717.3357389175017,2161.2225883091746,0.0005917292144917771,0.0005834647406765531,0.00046270106809421526,14.000000000000002,3.875,39
156,1689.9621913359083,1689.9621913359083,1728.1901945508478,2079.666171535234,0.0005917292144917771,0.0005801657037658301,0.0004808464039503936,19.0,8.3125,40
157,1689.9621913359083,1689.9621913359083,1711.211688848972,1959.4795953139637,0.0005917292144917771,0.0005849471982249633,0.000510339583219682,17.0,9.0,41
158,1689.9621913359083,1689.9621913359083,1729.5750331106797,2161.2225883091746,0.0005917292144917771,0.0005797041010617048,0.00046270106809421526,20.0,14.46875,42
159,1689.9621913359083,1689.9621913359083,1704.0545610108052,2079.8260713964128,0.0005917292144917771,0.0005873874313688281,0.000480809435823925,10.0,4.0625,43
160,1689.9621913359083,1689.9621913359083,1708.0894955260142,2039.3939041700455,0.0005917292144917771,0.0005860676403007844,0.0004903417618122973,13.0,4.1875,44
161,1689.9621913359083,1689.9621913359083,1726.1241074891127,2042.0136496620637,0.0005917292144917771,0.0005806591434700194,0.0004897126912768145,20.0,20.15625,45
162,1689.9621913359083,1689.9621913359083,1706.167031057811,2044.4170711864867,0.0005917292144917771,0.000586795586689996,0.0004891369838834524,9.0,3.6875,46
163,1689.9621913359083,1689.9621913359083,1718.7415325936495,2068.2346350357484,0.0005917292144917771,0.0005828024989503517,0.0004835041358751422,18.0,3.3125,47
164,1689.9621913359083,1689.9621913359083,1708.4897584581452,2070.2448986380914,0.0005917292144917771,0.000586031623916965,0.00048303464032581296,11.0,8.0625,48
165,1689.9621913359083,1689.9621913359083,1708.5557084422078,1994.5272607407173,0.0005917292144917771,0.0005859033079620156,0.0005013719389468885,12.0,8.25,49
166,1689.9621913359083,1689.9621913359083,1718.2458742096794,2055.3621759961065,0.0005917292144917771,0.0005830729140611958,0.0004865322577590792,14.000000000000002,18.1875,50
167,1689.9621913359083,1689.9621913359083,1716.8788495337772,2111.441672010149,0.0005917292144917771,0.0005834523561804196,0.00047361005196415055,17.0,10.90625,51
